Keyword,Avg. Monthly Searches,Top of Page Bid (Low),Top of Page Bid (High),Competition
Keyword 138,14728,0.79,1.68,Medium
Keyword 139,82194,1.11,3.69,Low
Keyword 140,88648,1.36,4.07,Low
Keyword 141,80168,1.18,1.64,High
Keyword 142,86404,1.04,2.18,High
Keyword 143,82425,1.82,2.38,Low
Keyword 144,67266,0.31,2.27,Medium
Keyword 145,50497,1.53,3.45,Medium
Keyword 146,32144,0.47,2.21,High
Keyword 147,19035,0.26,2.97,Low
Keyword 148,4022,1.1,2.94,Medium
Keyword 149,17419,1.43,2.56,Low
Keyword 150,60968,1.58,2.68,Medium
Keyword 151,23933,0.34,2.36,Low
Keyword 152,39066,0.63,2.53,Low
Keyword 153,34448,1.04,2.59,High
Keyword 154,54751,0.93,1.42,Low
Keyword 155,47979,1.0,2.58,Low
Keyword 156,92489,0.12,1.84,High
Keyword 157,91287,0.7,1.74,High
Keyword 158,79083,1.04,2.41,Low
Keyword 159,27778,0.71,1.76,Low
Keyword 160,32616,1.75,2.06,High
Keyword 161,18379,1.46,3.58,High
Keyword 162,93512,0.33,2.8,High
Keyword 163,7364,0.53,3.15,Low
Keyword 164,2858,1.81,3.41,Medium
Keyword 165,73523,1.19,1.97,Low
Keyword 166,23659,0.56,1.6,High
Keyword 167,92775,0.4,1.97,Low
Keyword 168,34360,1.97,3.93,Medium
Keyword 169,30747,1.13,1.98,High
Keyword 170,36825,1.53,2.93,Medium
Keyword 171,41104,1.27,3.39,High
Keyword 172,40831,0.82,0.98,Low
Keyword 173,96218,0.34,2.55,High
Keyword 174,11242,1.6,4.44,Medium
Keyword 175,64176,1.91,2.48,Medium
Keyword 176,28540,0.65,2.69,High
Keyword 177,6101,1.2,3.89,Low
Keyword 178,61638,0.76,0.92,Medium
Keyword 179,90000,1.18,1.83,Low
Keyword 180,88825,0.76,1.73,Low
Keyword 181,4061,1.46,3.53,High
Keyword 182,18886,0.71,1.43,High
Keyword 183,79425,0.64,2.12,High
Keyword 184,73169,0.97,1.22,High
Keyword 185,19538,1.0,3.55,Medium
Keyword 186,83093,1.73,2.03,Medium
Keyword 187,87197,1.96,2.99,High
Keyword 188,48138,0.7,1.71,High
Keyword 189,68711,0.81,3.51,High
Keyword 190,96285,0.83,1.39,High
Keyword 191,37286,0.94,1.58,High
Keyword 192,69064,0.9,1.59,Medium
Keyword 193,42297,0.43,2.42,High
Keyword 194,21129,1.07,3.16,Low
Keyword 195,44498,0.4,3.08,Medium
Keyword 196,80100,0.76,1.83,Low
Keyword 197,89876,0.97,3.91,Low
Keyword 198,78305,1.07,2.67,Medium
Keyword 199,26405,1.97,3.19,Low
Keyword 200,77095,0.62,2.07,Low
Keyword 201,69458,0.85,2.91,Low
Keyword 202,41584,0.31,2.98,High
Keyword 203,67543,1.97,2.23,Medium
Keyword 204,54766,0.5,2.04,Medium
Keyword 205,42781,0.45,0.65,Medium
Keyword 206,64095,0.39,1.48,High
Keyword 207,71830,1.16,1.82,Medium
Keyword 208,55184,0.33,1.27,Medium
Keyword 209,56515,1.12,4.09,Medium
Keyword 210,34332,1.54,4.32,High
Keyword 211,88765,1.06,1.71,Low
Keyword 212,81667,1.72,3.64,Medium
Keyword 213,53847,0.94,1.89,High
Keyword 214,6350,0.46,0.82,High
Keyword 215,31117,0.27,2.21,Medium
Keyword 216,34582,1.36,2.28,High
Keyword 217,65174,1.58,2.03,Medium
Keyword 218,52299,1.23,3.12,Low
Keyword 219,53025,0.78,3.36,High
Keyword 220,1897,1.59,3.57,Low
Keyword 221,38510,1.94,2.16,High
Keyword 222,96763,1.07,1.71,Medium
Keyword 223,55114,0.56,1.94,High
Keyword 224,89721,0.59,1.29,Medium
Keyword 225,99319,0.91,3.21,Medium
Keyword 226,32992,1.02,3.64,Low
Keyword 227,73322,1.19,1.82,High
Keyword 228,93301,0.32,1.19,Medium
Keyword 229,44540,1.39,1.88,Medium
Keyword 230,71331,1.57,1.74,Low
Keyword 231,42343,0.98,2.49,Medium
Keyword 232,11978,0.38,2.59,Medium
Keyword 233,13526,1.64,3.25,Low
Keyword 234,16799,0.42,1.81,Low
Keyword 235,46896,1.36,4.1,Medium
Keyword 236,93818,1.95,3.95,High
Keyword 237,16145,1.81,4.16,Medium
Keyword 238,2382,0.2,1.55,High
Keyword 239,15662,1.95,3.12,Low
Keyword 240,27400,1.63,2.84,Low
Keyword 241,22650,1.45,1.89,High
Keyword 242,63865,0.2,0.56,High
Keyword 243,65672,1.42,3.32,High
Keyword 244,59182,1.99,2.56,Low
Keyword 245,60438,0.81,2.46,Low
Keyword 246,28517,0.35,1.83,High
Keyword 247,67852,1.02,3.16,Medium
Keyword 248,38715,0.24,1.99,Low
Keyword 249,77340,0.46,1.88,Medium
Keyword 250,14688,0.74,3.52,Low
Keyword 251,42841,1.29,1.67,Low
Keyword 252,10737,1.57,3.22,High
Keyword 253,80018,1.64,3.55,Medium
Keyword 254,81804,0.97,1.1,Medium
Keyword 255,99573,1.43,3.64,High
Keyword 256,30895,1.95,3.14,Medium
Keyword 257,17593,0.29,2.27,Medium
Keyword 258,53627,0.52,1.69,Medium
Keyword 259,42288,1.46,4.45,Low
Keyword 260,20595,1.19,2.11,Medium
Keyword 261,42041,0.68,3.11,Medium
Keyword 262,4197,1.83,3.56,Low
Keyword 263,89818,1.93,2.58,Medium
Keyword 264,60241,1.53,2.4,High
Keyword 265,35822,1.05,2.94,Low
Keyword 266,17187,0.85,3.31,Low
Keyword 267,40181,1.72,2.5,Medium
Keyword 268,14552,1.9,3.46,Medium
Keyword 269,12172,0.38,1.75,Low
Keyword 270,72668,0.66,2.97,Low
Keyword 271,69197,1.6,1.71,Low
Keyword 272,93070,1.15,1.92,Low
Keyword 273,19308,1.31,2.01,Low
Keyword 274,90160,0.61,3.59,Low
Keyword 275,1862,0.56,1.69,Medium
Keyword 276,23691,1.92,4.16,Medium
Keyword 277,45325,1.7,2.31,Low
Keyword 278,43175,1.27,2.02,High
Keyword 279,51360,1.33,2.96,Low
Keyword 280,26389,0.11,1.81,Medium
Keyword 281,53005,0.77,1.69,High
Keyword 282,6091,0.75,1.37,Low
Keyword 283,28729,0.95,1.49,High
Keyword 284,54023,0.71,3.09,Low
Keyword 285,5254,0.99,1.91,Low
Keyword 286,62777,1.11,3.55,Medium
Keyword 287,55358,0.19,2.52,High
Keyword 288,9537,1.36,1.95,High
Keyword 289,51771,0.6,2.56,Low
Keyword 290,12593,0.79,0.98,Low
Keyword 291,80406,1.32,3.91,Low
Keyword 292,68293,0.63,1.49,Medium
Keyword 293,23616,0.95,3.11,High
Keyword 294,66320,1.21,4.18,Low
Keyword 295,35603,0.15,3.06,Low
Keyword 296,3285,0.78,1.41,High
Keyword 297,24312,0.66,2.24,High
Keyword 298,19744,0.56,1.81,Low
Keyword 299,32625,0.53,2.21,Low
Keyword 300,67340,0.2,1.46,Medium
Keyword 301,33469,1.87,3.94,Medium
Keyword 302,99749,0.12,3.09,High
Keyword 303,66320,0.43,0.77,Medium
Keyword 304,67443,0.63,2.77,Medium
Keyword 305,34015,0.14,1.95,High
Keyword 306,65738,0.94,1.17,High
Keyword 307,84514,0.84,2.99,Medium
Keyword 308,49375,1.83,3.13,Medium
Keyword 309,54845,1.88,4.66,Medium
Keyword 310,849,0.73,1.39,High
Keyword 311,54620,0.58,1.79,High
Keyword 312,88445,1.0,3.92,Low
Keyword 313,48151,0.94,3.35,High
Keyword 314,51434,1.02,1.54,Low
Keyword 315,39134,1.65,2.02,Medium
Keyword 316,66709,1.87,2.33,High
Keyword 317,42780,0.58,2.83,High
Keyword 318,39066,1.76,4.61,Medium
Keyword 319,23794,1.84,3.95,High
Keyword 320,68510,1.32,2.06,Medium
Keyword 321,76900,1.6,4.59,Low
Keyword 322,37823,1.24,3.53,Low
Keyword 323,89022,0.57,1.96,High
Keyword 324,24469,1.35,4.27,High
Keyword 325,94669,0.17,0.73,Low
Keyword 326,79249,1.18,2.04,Low
Keyword 327,40703,1.12,3.81,Medium
Keyword 328,59065,1.07,2.02,Medium
Keyword 329,43820,0.7,1.97,Low
Keyword 330,6154,0.28,1.1,Medium
Keyword 331,95749,1.99,3.75,High
Keyword 332,69446,0.93,2.54,Medium
Keyword 333,19821,1.56,2.72,Medium
Keyword 334,91239,0.66,3.12,Medium
Keyword 335,57230,1.5,3.87,Medium
Keyword 336,21206,0.19,1.15,High
Keyword 337,14567,1.98,3.31,High
Keyword 338,36324,0.2,3.04,High
Keyword 339,60510,1.56,4.0,Medium
Keyword 340,13907,0.65,1.99,High
Keyword 341,21313,0.26,1.63,High
Keyword 342,23192,1.53,4.35,Medium
Keyword 343,76752,0.64,3.61,High
Keyword 344,75276,1.65,3.68,High
Keyword 345,26308,1.83,4.32,High
Keyword 346,12703,1.67,3.87,Low
Keyword 347,42021,1.29,1.52,Medium
Keyword 348,43988,1.18,1.93,Low
Keyword 349,2559,1.58,4.25,Low
Keyword 350,44214,0.79,2.31,Low
Keyword 351,41497,0.11,0.97,Low
Keyword 352,87393,0.35,0.96,Medium
Keyword 353,48225,1.06,2.85,Low
Keyword 354,57226,1.79,3.77,Low
Keyword 355,69272,0.64,1.56,Medium
Keyword 356,73492,1.3,2.35,High
Keyword 357,37459,0.79,3.73,High
Keyword 358,79586,0.15,2.86,Low
Keyword 359,83689,1.39,3.54,High
Keyword 360,38836,1.97,2.13,Low
Keyword 361,26784,0.71,0.98,Medium
Keyword 362,55512,0.97,1.67,High
Keyword 363,99203,1.65,2.0,Low
Keyword 364,92308,0.39,2.22,Medium
Keyword 365,26973,0.46,1.34,High
Keyword 366,22883,0.32,2.17,Low
Keyword 367,74311,1.52,4.48,Medium
Keyword 368,18086,1.27,2.45,High
Keyword 369,64260,1.87,4.25,Medium
Keyword 370,9816,0.29,1.48,Low
Keyword 371,83187,0.73,3.55,Low
Keyword 372,75460,0.69,3.02,High
Keyword 373,32151,0.67,1.21,High
Keyword 374,7985,0.56,3.09,Medium
Keyword 375,45509,1.17,4.11,Low
Keyword 376,91195,0.6,3.28,Medium
Keyword 377,83628,0.86,3.45,High
Keyword 378,35927,0.47,2.58,High
Keyword 379,23391,1.8,3.27,Low
Keyword 380,80226,0.4,2.42,Medium
Keyword 381,33137,0.35,3.27,Medium
Keyword 382,12796,0.57,2.58,High
Keyword 383,62311,1.93,2.06,Low
Keyword 384,80878,0.85,2.44,Low
Keyword 385,58052,1.29,3.73,Medium
Keyword 386,62372,1.64,2.66,High
Keyword 387,96222,1.01,2.11,High
Keyword 388,66394,1.32,4.31,High
Keyword 389,87857,1.18,3.41,Low
Keyword 390,66659,1.32,3.58,Low
Keyword 391,76590,0.72,2.08,Low
Keyword 392,86035,1.39,3.16,Low
Keyword 393,47197,1.91,4.77,Low
Keyword 394,4701,1.64,3.73,High
Keyword 395,35958,1.11,3.57,Medium
Keyword 396,19986,1.71,2.77,Medium
Keyword 397,15709,1.4,1.96,High
Keyword 398,45673,0.43,2.52,Low
Keyword 399,90480,1.62,4.23,High
Keyword 400,37757,0.87,1.97,High
Keyword 401,98631,0.11,0.25,High
Keyword 402,64916,1.15,3.42,Medium
Keyword 403,60079,0.72,2.75,High
Keyword 404,10845,1.15,3.58,Low
Keyword 405,30152,1.03,2.34,High
Keyword 406,58190,1.44,2.23,High
Keyword 407,33272,0.37,2.77,High
Keyword 408,64350,1.58,4.41,Low
Keyword 409,52755,1.46,2.55,High
Keyword 410,75148,1.15,2.04,Medium
Keyword 411,11557,0.58,0.95,Medium
Keyword 412,22560,0.61,0.95,High
Keyword 413,8704,1.5,2.47,High
Keyword 414,71530,0.86,2.2,Low
Keyword 415,38086,0.32,2.54,Medium
Keyword 416,42382,1.38,1.77,Low
Keyword 417,81386,1.1,3.5,High
Keyword 418,64330,1.7,3.76,Medium
Keyword 419,26497,1.18,3.27,Medium
Keyword 420,15908,0.59,3.04,Low
Keyword 421,38290,0.25,1.78,Medium
Keyword 422,23381,1.03,1.22,Medium
Keyword 423,23575,1.72,2.55,Low
Keyword 424,99230,0.3,2.58,High
Keyword 425,13918,1.24,1.86,High
Keyword 426,66041,0.42,1.03,Medium
Keyword 427,67431,1.35,1.66,Medium
Keyword 428,35998,1.1,2.89,Medium
Keyword 429,55643,0.53,0.65,Medium
Keyword 430,9764,0.98,1.65,High
Keyword 431,89677,0.78,2.02,High
Keyword 432,44335,0.16,1.24,Medium
Keyword 433,26475,1.7,2.17,High
Keyword 434,41224,0.96,3.18,High
Keyword 435,7262,0.72,0.93,Low
Keyword 436,92487,1.76,1.97,Low
Keyword 437,40646,1.24,2.21,High
Keyword 438,31759,1.07,1.53,Low
Keyword 439,31125,0.2,1.35,High
Keyword 440,50743,0.39,2.02,Low
Keyword 441,6971,1.3,3.55,Low
Keyword 442,97811,1.03,3.15,Medium
Keyword 443,20365,0.32,1.53,Medium
Keyword 444,38310,0.45,1.65,Medium
Keyword 445,61840,1.55,2.38,Medium
Keyword 446,89543,0.71,3.03,Medium
Keyword 447,90006,0.59,2.25,High
Keyword 448,67663,0.81,1.24,High
Keyword 449,41358,1.1,1.96,Low
Keyword 450,68252,0.8,3.66,Low
Keyword 451,53487,0.96,2.91,Low
Keyword 452,82474,1.89,3.34,High
Keyword 453,4398,0.87,2.77,Low
Keyword 454,44173,1.21,1.96,High
Keyword 455,44568,1.74,1.89,Medium
Keyword 456,61487,1.01,1.53,Medium
Keyword 457,79498,0.81,2.23,Medium
Keyword 458,12472,1.75,4.69,Low
Keyword 459,14882,0.46,1.25,Medium
Keyword 460,22046,1.8,2.41,Low
Keyword 461,3603,1.88,3.92,Medium
Keyword 462,48961,1.83,2.44,Medium
Keyword 463,57202,1.48,2.46,Medium
Keyword 464,30602,0.98,3.01,Low
Keyword 465,11982,0.93,3.07,Low
Keyword 466,4375,0.82,3.24,Low
Keyword 467,53527,1.78,2.04,High
Keyword 468,27731,0.28,2.51,Medium
Keyword 469,89736,0.93,2.67,High
Keyword 470,99206,0.46,1.21,Medium
Keyword 471,92774,1.96,2.96,High
Keyword 472,99180,1.74,2.7,Low
Keyword 473,29964,0.82,3.03,Low
Keyword 474,68880,0.96,3.81,Low
Keyword 475,30424,0.28,3.18,High
Keyword 476,61279,1.48,2.16,Medium
Keyword 477,58083,1.34,4.27,Medium
Keyword 478,23684,1.86,3.05,High
Keyword 479,39115,0.45,2.15,Medium
Keyword 480,89855,1.92,4.2,Medium
Keyword 481,70506,0.86,2.56,Medium
Keyword 482,60907,1.36,1.79,Low
Keyword 483,51206,0.79,2.81,Medium
Keyword 484,90487,1.03,3.11,High
Keyword 485,6918,1.41,3.43,Medium
Keyword 486,59127,1.34,2.61,Low
Keyword 487,63202,0.85,3.6,Low
Keyword 488,95483,1.67,3.49,High
Keyword 489,89652,0.88,1.22,High
Keyword 490,32450,0.63,2.68,High
Keyword 491,9234,0.75,2.97,High
Keyword 492,2394,1.92,3.08,High
Keyword 493,5718,1.34,3.3,Low
Keyword 494,3507,0.21,1.09,Medium
Keyword 495,91870,1.55,3.75,Medium
Keyword 496,58550,1.45,3.13,Low
Keyword 497,71998,1.7,3.88,Medium
Keyword 498,3163,1.19,2.9,Low
Keyword 499,35192,1.56,2.54,Low
Keyword 500,73416,1.03,1.17,Low
Keyword 501,21324,1.79,3.34,Low
Keyword 502,52469,0.41,0.51,Medium
Keyword 503,1846,1.64,2.23,Low
Keyword 504,8949,1.93,3.66,Medium
Keyword 505,8699,1.69,3.96,Low
Keyword 506,49829,0.61,0.81,Medium
Keyword 507,84116,0.66,3.16,Medium
Keyword 508,80095,0.59,3.2,Low
Keyword 509,70383,1.19,3.35,Medium
Keyword 510,57441,1.95,2.75,Low
Keyword 511,62845,1.52,2.59,Medium
Keyword 512,3174,1.14,2.01,Low
Keyword 513,95811,0.46,1.35,Low
Keyword 514,50475,1.77,4.63,Low
Keyword 515,28491,1.93,3.72,Low
Keyword 516,84067,1.55,2.43,High
Keyword 517,25712,0.33,2.53,High
Keyword 518,84126,0.17,1.21,Medium
Keyword 519,92263,1.74,4.19,Low
Keyword 520,75126,1.42,4.32,High
Keyword 521,57285,1.04,3.67,Medium
Keyword 522,77086,0.91,2.55,Low
Keyword 523,57688,1.2,1.46,Low
Keyword 524,40943,1.26,2.44,Low
Keyword 525,81601,0.75,3.16,High
Keyword 526,94719,0.8,1.54,Medium
Keyword 527,22755,0.47,2.76,Low
Keyword 528,4784,0.17,1.39,Medium
Keyword 529,70259,0.66,2.12,Medium
Keyword 530,62563,0.23,2.17,Low
Keyword 531,53881,0.86,1.9,High
Keyword 532,41840,0.94,3.44,Medium
Keyword 533,29681,0.12,0.27,Low
Keyword 534,10796,0.23,2.11,Low
Keyword 535,56250,1.05,1.78,Low
Keyword 536,25110,1.72,4.25,Low
Keyword 537,35528,1.85,3.96,Medium
Keyword 538,11519,0.53,1.66,Medium
Keyword 539,51795,1.14,1.38,Medium
Keyword 540,17661,0.77,1.51,High
Keyword 541,4867,1.67,1.78,Medium
Keyword 542,82432,1.24,3.94,Medium
Keyword 543,37643,1.3,2.33,Medium
Keyword 544,87459,0.58,2.33,Medium
Keyword 545,2616,0.18,1.48,Low
Keyword 546,6560,1.4,3.18,High
Keyword 547,23162,1.12,2.99,High
Keyword 548,13747,1.92,4.68,Low
Keyword 549,80009,0.2,0.56,High
Keyword 550,24207,1.02,1.21,Medium
Keyword 551,12364,0.97,1.3,Medium
Keyword 552,43756,1.58,3.49,Medium
Keyword 553,36825,1.01,1.29,High
Keyword 554,49013,1.93,2.29,High
Keyword 555,83442,0.99,2.23,Medium
Keyword 556,62836,1.32,3.48,High
Keyword 557,2685,1.79,4.09,Low
Keyword 558,89276,0.64,2.59,Medium
Keyword 559,55865,1.75,3.74,Medium
Keyword 560,69318,1.81,3.92,Medium
Keyword 561,47194,1.65,3.58,High
Keyword 562,16328,0.78,2.72,High
Keyword 563,35213,0.31,0.87,Medium
Keyword 564,23197,0.76,3.58,High
Keyword 565,31940,1.98,4.76,Medium
Keyword 566,99361,1.83,4.54,High
Keyword 567,25890,0.97,1.39,Low
Keyword 568,81922,0.49,2.41,Medium
Keyword 569,40654,0.37,1.68,Low
Keyword 570,18186,0.77,1.42,Medium
Keyword 571,68936,1.29,3.65,Low
Keyword 572,37453,0.38,3.22,Low
Keyword 573,69213,0.14,2.41,Medium
Keyword 574,81594,0.67,2.11,High
Keyword 575,40236,1.8,4.03,Medium
Keyword 576,72682,0.81,2.41,Low
Keyword 577,10688,0.99,3.55,High
Keyword 578,82243,0.26,3.12,High
Keyword 579,69135,0.72,1.73,Medium
Keyword 580,89344,0.25,2.03,High
Keyword 581,6014,1.59,3.46,Low
Keyword 582,35006,0.39,1.99,Low
Keyword 583,21882,1.25,3.6,Medium
Keyword 584,11645,1.74,3.87,High
Keyword 585,16077,1.75,3.29,High
Keyword 586,82964,0.47,2.57,Medium
Keyword 587,65050,1.35,2.71,Medium
Keyword 588,95706,0.81,0.99,High
Keyword 589,46917,1.8,3.43,High
Keyword 590,96984,1.58,4.46,High
Keyword 591,31574,0.55,1.6,High
Keyword 592,14637,0.37,2.91,High
Keyword 593,79189,0.35,0.59,High
Keyword 594,5352,0.34,2.3,Low
Keyword 595,93092,1.25,3.58,Low
Keyword 596,14376,0.15,1.67,High
Keyword 597,14434,1.39,3.63,Low
Keyword 598,9464,1.08,3.27,High
Keyword 599,71890,1.13,1.64,Low
Keyword 600,53596,0.97,2.0,Medium
Keyword 601,17549,1.78,4.54,Low
Keyword 602,48534,1.21,2.56,Medium
Keyword 603,93278,0.18,2.32,High
Keyword 604,9842,0.63,1.23,Low
Keyword 605,28416,0.56,1.56,Low
Keyword 606,70049,1.89,2.04,Medium
Keyword 607,41027,0.91,3.13,Medium
Keyword 608,21556,0.4,1.18,Low
Keyword 609,25201,1.9,3.58,High
Keyword 610,99623,1.9,2.78,Low
Keyword 611,96892,1.56,2.81,High
Keyword 612,45967,1.25,2.15,Low
Keyword 613,57672,1.36,3.89,Medium
Keyword 614,23355,0.21,3.18,Low
Keyword 615,33727,1.79,3.92,Low
Keyword 616,50299,0.59,2.26,High
Keyword 617,92013,0.97,2.0,High
Keyword 618,59393,0.35,3.0,Low
Keyword 619,39103,0.98,3.54,Medium
Keyword 620,68813,1.0,3.56,High
Keyword 621,50243,1.19,2.07,High
Keyword 622,65263,0.12,3.11,High
Keyword 623,31457,0.99,1.64,High
Keyword 624,52370,1.33,2.38,Low
Keyword 625,80799,0.67,2.85,Medium
Keyword 626,82674,0.29,3.22,High
Keyword 627,31616,1.77,3.87,Low
Keyword 628,27714,1.43,2.78,Low
Keyword 629,9287,0.47,2.36,Medium
Keyword 630,76840,1.62,3.33,Medium
Keyword 631,25592,1.32,1.93,Low
Keyword 632,1283,1.25,1.5,Low
Keyword 633,95966,0.12,1.56,Low
Keyword 634,75710,0.16,2.3,Medium
Keyword 635,79938,0.43,2.7,High
Keyword 636,38455,1.41,3.67,High
Keyword 637,9765,1.89,3.27,High
Keyword 638,90962,0.9,2.06,Low
Keyword 639,39167,1.98,3.05,Low
Keyword 640,5693,1.85,2.86,High
Keyword 641,41998,1.31,3.39,Low
Keyword 642,20851,1.65,2.56,Low
Keyword 643,16902,1.67,1.89,Low
Keyword 644,48746,1.37,2.39,Medium
Keyword 645,76329,0.73,2.34,High
Keyword 646,42568,1.03,3.96,Medium
Keyword 647,58968,0.22,2.18,High
Keyword 648,18578,1.28,3.14,Medium
Keyword 649,72657,0.35,1.78,High
Keyword 650,15469,1.13,4.04,Medium
Keyword 651,25070,1.0,3.99,Low
Keyword 652,22450,1.69,3.77,Medium
Keyword 653,37358,0.49,2.91,High
Keyword 654,22075,0.63,1.47,Medium
Keyword 655,76089,0.55,2.49,High
Keyword 656,89379,1.0,1.12,Low
Keyword 657,74292,0.73,1.12,Medium
Keyword 658,43242,1.5,2.48,High
Keyword 659,41982,1.63,2.63,Medium
Keyword 660,83308,1.59,4.32,High
Keyword 661,91119,0.37,1.26,High
Keyword 662,69021,1.96,3.98,Low
