Keyword,Avg. Monthly Searches,Top of Page Bid (Low),Top of Page Bid (High),Competition,Suggested CPC
Keyword 366,22883,0.32,2.17,Low,0.4
Keyword 370,9816,0.29,1.48,Low,0.4
Keyword 380,80226,0.4,2.42,Medium,0.4
Keyword 381,33137,0.35,3.27,Medium,0.4
Keyword 401,98631,0.11,0.25,High,0.4
Keyword 407,33272,0.37,2.77,High,0.4
Keyword 415,38086,0.32,2.54,Medium,0.4
Keyword 421,38290,0.25,1.78,Medium,0.4
Keyword 424,99230,0.3,2.58,High,0.4
Keyword 432,44335,0.16,1.24,Medium,0.4
Keyword 439,31125,0.2,1.35,High,0.4
Keyword 440,50743,0.39,2.02,Low,0.4
Keyword 443,20365,0.32,1.53,Medium,0.4
Keyword 468,27731,0.28,2.51,Medium,0.4
Keyword 475,30424,0.28,3.18,High,0.4
Keyword 494,3507,0.21,1.09,Medium,0.4
Keyword 517,25712,0.33,2.53,High,0.4
Keyword 518,84126,0.17,1.21,Medium,0.4
Keyword 528,4784,0.17,1.39,Medium,0.4
Keyword 530,62563,0.23,2.17,Low,0.4
Keyword 533,29681,0.12,0.27,Low,0.4
Keyword 534,10796,0.23,2.11,Low,0.4
Keyword 545,2616,0.18,1.48,Low,0.4
Keyword 549,80009,0.2,0.56,High,0.4
Keyword 563,35213,0.31,0.87,Medium,0.4
Keyword 569,40654,0.37,1.68,Low,0.4
Keyword 572,37453,0.38,3.22,Low,0.4
Keyword 573,69213,0.14,2.41,Medium,0.4
Keyword 578,82243,0.26,3.12,High,0.4
Keyword 580,89344,0.25,2.03,High,0.4
Keyword 582,35006,0.39,1.99,Low,0.4
Keyword 592,14637,0.37,2.91,High,0.4
Keyword 593,79189,0.35,0.59,High,0.4
Keyword 594,5352,0.34,2.3,Low,0.4
Keyword 596,14376,0.15,1.67,High,0.4
Keyword 603,93278,0.18,2.32,High,0.4
Keyword 608,21556,0.4,1.18,Low,0.4
Keyword 614,23355,0.21,3.18,Low,0.4
Keyword 618,59393,0.35,3.0,Low,0.4
Keyword 622,65263,0.12,3.11,High,0.4
Keyword 626,82674,0.29,3.22,High,0.4
Keyword 633,95966,0.12,1.56,Low,0.4
Keyword 634,75710,0.16,2.3,Medium,0.4
Keyword 647,58968,0.22,2.18,High,0.4
Keyword 649,72657,0.35,1.78,High,0.4
Keyword 661,91119,0.37,1.26,High,0.4
Keyword 670,57066,0.28,0.46,High,0.4
Keyword 680,82618,0.14,2.94,Medium,0.4
Keyword 683,75596,0.25,1.45,High,0.4
Keyword 688,46077,0.37,1.32,Low,0.4
Keyword 691,23051,0.15,1.92,Medium,0.4
Keyword 693,58546,0.23,3.09,Low,0.4
Keyword 703,73589,0.18,1.5,Low,0.4
Keyword 707,22883,0.22,2.74,High,0.4
Keyword 710,11516,0.17,1.39,High,0.4
Keyword 721,17137,0.33,2.03,Medium,0.4
Keyword 724,53463,0.14,0.68,Low,0.4
Keyword 733,78130,0.28,1.25,High,0.4
Keyword 737,98058,0.39,2.69,Low,0.4
Keyword 738,16346,0.4,1.0,Low,0.4
Keyword 751,74432,0.35,2.15,Medium,0.4
Keyword 752,85491,0.31,3.08,Low,0.4
Keyword 772,54887,0.2,1.04,Low,0.4
Keyword 776,28925,0.13,0.54,High,0.4
Keyword 781,44249,0.2,1.94,Medium,0.4
Keyword 793,97277,0.27,1.36,High,0.4
Keyword 797,76725,0.16,1.09,Medium,0.4
Keyword 805,88321,0.11,1.81,Medium,0.4
Keyword 808,70109,0.23,2.95,Low,0.4
Keyword 814,62597,0.39,1.75,Medium,0.4
Keyword 826,88256,0.1,0.61,Low,0.4
Keyword 832,63501,0.13,2.0,Low,0.4
Keyword 834,54574,0.23,3.09,Low,0.4
Keyword 836,56677,0.13,2.41,Low,0.4
Keyword 841,11878,0.15,2.27,Low,0.4
Keyword 845,83589,0.4,1.99,High,0.4
Keyword 853,80296,0.13,2.35,Low,0.4
Keyword 859,49355,0.11,3.04,Medium,0.4
Keyword 875,58572,0.27,0.85,Medium,0.4
Keyword 880,2697,0.37,1.05,Medium,0.4
Keyword 884,69446,0.19,2.91,Low,0.4
Keyword 895,90692,0.31,2.33,Low,0.4
Keyword 897,96143,0.34,0.77,Medium,0.4
Keyword 901,5960,0.28,2.97,High,0.4
Keyword 905,45381,0.31,1.26,High,0.4
Keyword 918,42324,0.13,1.5,High,0.4
Keyword 923,33871,0.15,1.64,Medium,0.4
Keyword 927,79404,0.19,3.11,High,0.4
Keyword 929,63458,0.31,1.3,Medium,0.4
Keyword 934,39666,0.1,2.87,Medium,0.4
Keyword 940,86649,0.35,0.47,Medium,0.4
Keyword 967,46205,0.34,0.85,Low,0.4
Keyword 973,36764,0.13,0.97,Low,0.4
Keyword 977,4229,0.26,2.33,High,0.4
Keyword 983,4556,0.24,3.09,High,0.4
Keyword 988,89617,0.4,1.0,Medium,0.4
Keyword 994,26919,0.26,1.12,High,0.4
